,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
507,01/24/2022,Norfolk State,Morgan State,-7.5,Norfolk State Wins By 7.5,51.42%,-105,149.0,143.9,-110.0,Under 149.0,56.35%,Morgan State +7.5,0.2%,0.1%,1.6%,82-62,0.0,1.0
508,01/24/2022,Winthrop,High Point,-3.5,High Point Wins By 1.6,51.42%,-115,136.5,137.4,-115.0,Over 136.5,56.35%,High Point +3.5,-2.%,-1.%,0.4%,56-65,1.0,0.0
509,01/24/2022,Northeastern,UNC Wilmington,-2.5,Northeastern Wins By 1.8,51.42%,-110,131.5,134.5,-115.0,Over 131.5,56.35%,UNC Wilmington +2.5,-1.%,-0.%,0.4%,68-74,1.0,1.0
510,01/24/2022,North Carolina Central,Maryland Eastern Shore,-3.5,North Carolina Central Wins By 1.6,51.42%,-110,133.0,131.3,-110.0,Under 133.0,54.06%,Maryland Eastern Shore +3.5,-1.%,-0.%,1.6%,75-63,0.0,0.0
511,01/24/2022,Portland State,Idaho,-7.5,Portland State Wins By 6.0,51.42%,-110,143.5,139.5,-110.0,Under 143.5,56.35%,Idaho +7.5,-1.%,-0.%,1.6%,79-84,1.0,0.0
512,01/24/2022,South Carolina State,Delaware State,-9.0,South Carolina State Wins By 8.0,51.42%,-110,140.0,148.0,100.0,Over 140.0,54.06%,Delaware State +9.0,-1.%,-0.%,3.9%,64-62,1.0,0.0
513,01/24/2022,Florida A&M,Jackson State,-1.0,Florida A&M Wins By 0.8,51.42%,-110,125.5,129.7,-105.0,Over 125.5,56.35%,Jackson State +1.0,-1.%,-0.%,2.7%,67-64,0.0,1.0
514,01/24/2022,Northern Arizona,Sacramento State,-3.5,Northern Arizona Wins By 1.5,51.42%,-110,134.0,138.2,-115.0,Over 134.0,56.35%,Sacramento State +3.5,-1.%,-0.%,0.4%,70-65,0.0,1.0
515,01/24/2022,American,Lafayette,-1.0,American Wins By 1.1,51.42%,-115,132.5,133.9,-110.0,Over 132.5,56.35%,American -1.0,-2.%,-1.%,1.6%,56-69,0.0,0.0
516,01/21/2022,Illinois,Maryland,-4.5,Illinois Wins By 7.7,50.35%,-110,137.5,147.4,-110.0,Over 137.5,54.06%,Illinois -4.5,-2.%,-1.%,1.6%,65-81,0.0,1.0
517,01/21/2022,Nevada,Fresno State,-2.0,Fresno State Wins By 4.6,50.35%,-105,138.0,127.2,-110.0,Under 138.0,54.06%,Fresno State +2.0,-0.%,-0.%,1.6%,77-73,0.0,0.0
